Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Images
80600,3 Series 318i,BMW,13620,04-Aug-2016,Luxury,55395,https://i.i-sgcm.com/cars_used/202106/1002994_small.jpg
175000,A-Class A45 AMG 4MATIC+,Mercedes-Benz,27610,28-Oct-2016,Sports,50000,https://i.i-sgcm.com/cars_used/202106/1001817_small.jpg
21800,Lancer EX 1.5A GLS (COE till 03/2024),Mitsubishi,8420,12-Mar-2009,Sedan,143000,https://i.i-sgcm.com/cars_used/202105/999576_small.jpg
35800,Vios 1.5A E (COE till 04/2026),Toyota,7580,04-May-2011,Sedan,108477,https://i.i-sgcm.com/cars_used/202105/991472_small.jpg
28998,Vios 1.5A E (COE till 06/2025),Toyota,7450,01-Jul-2010,Sedan,122580,https://i.i-sgcm.com/cars_used/202104/990932_small.jpg
80800,A-Class A200 Style,Mercedes-Benz,13840,07-Sep-2016,Hatchback,101899,https://i.i-sgcm.com/cars_used/202102/967268_small.jpg
119900,2 Series 216i Gran Tourer,BMW,11690,31-Mar-2020,MPV,31492,https://i.i-sgcm.com/cars_used/202108/1021385_small.jpg
14900,Fit 1.3A G (COE till 09/2023),Honda,7060,19-Sep-2008,Hatchback,145739,https://i.i-sgcm.com/cars_used/202108/1021382_small.jpg
79888,DS5 Diesel 1.6A e-HDi,Citroen,10570,23-Nov-2017,Stationwagon,60000,https://i.i-sgcm.com/cars_used/202108/1021375_small.jpg
136800,2 Series 216i Gran Tourer,BMW,12480,18-Jan-2021,MPV,12500,https://i.i-sgcm.com/cars_used/202108/1021366_small.jpg
60800,Vezel Hybrid 1.5A RS Sensing (OPC),Honda,9830,14-Jul-2017,SUV,36193,https://i.i-sgcm.com/cars_used/202108/1020502_small.jpg
113800,Noah Hybrid 1.8A X,Toyota,13690,18-Oct-2018,MPV,38506,https://i.i-sgcm.com/cars_used/202108/1019746_small.jpg
69800,3 1.5A Sunroof,Mazda,9410,09-Mar-2018,Sedan,46000,https://i.i-sgcm.com/cars_used/202108/1019656_small.jpg
59000,Qashqai 1.2A DIG-T,Nissan,9410,23-Feb-2017,SUV,59000,https://i.i-sgcm.com/cars_used/202108/1019465_small.jpg
33800,Touran 1.4A TSI,Volkswagen,14090,15-May-2013,MPV,85000,https://i.i-sgcm.com/cars_used/202107/1018511_small.jpg
89800,Jade 1.5A RS,Honda,11320,05-Mar-2018,MPV,63589,https://i.i-sgcm.com/cars_used/202107/1018497_small.jpg
103000,Voxy Hybrid 1.8A V (OPC),Toyota,11430,17-May-2019,MPV,25000,https://i.i-sgcm.com/cars_used/202107/1017010_small.jpg
85500,3 Series 318i Sport,BMW,13100,15-Dec-2016,Luxury,77000,https://i.i-sgcm.com/cars_used/202107/1015079_small.jpg
59800,Grand Vitara 2.0A (COE till 02/2029),Suzuki,7910,11-Sep-2009,SUV,86925,https://i.i-sgcm.com/cars_used/202107/1013312_small.jpg
55998,Jazz 1.5A RS,Honda,9940,10-Aug-2016,Hatchback,65830,https://i.i-sgcm.com/cars_used/202107/1013141_small.jpg
159800,GLC-Class GLC200,Mercedes-Benz,18400,19-Nov-2018,SUV,29656,https://i.i-sgcm.com/cars_used/202107/1013102_small.jpg
189500,5 Series 540i M-Sport,BMW,23840,23-Aug-2017,Luxury,47950,https://i.i-sgcm.com/cars_used/202107/1011709_small.jpg
116800,Noah Hybrid 1.8A X,Toyota,13310,29-Apr-2019,MPV,25000,https://i.i-sgcm.com/cars_used/202107/1011663_small.jpg
18188,Fit 1.3A GF (COE till 12/2023),Honda,7860,03-Dec-2008,Hatchback,133000,https://i.i-sgcm.com/cars_used/202107/1011417_small.jpg
134800,X3 sDrive20i M-Sport Sunroof,BMW,17890,27-Oct-2017,SUV,84821,https://i.i-sgcm.com/cars_used/202106/1009659_small.jpg
27800,C-Class C200ML (COE till 10/2025),Mercedes-Benz,6570,30-Jun-2001,Luxury,223000,https://i.i-sgcm.com/cars_used/202106/1009528_small.jpg
97300,Q30 1.6T Premium,Infiniti,10970,30-Nov-2018,Hatchback,51123,https://i.i-sgcm.com/cars_used/202106/1009058_small.jpg
41800,Corolla Altis 1.6A (COE till 03/2027),Toyota,7520,02-Mar-2007,Sedan,135000,https://i.i-sgcm.com/cars_used/202106/1008216_small.jpg
32800,i30 1.6A Sunroof (COE till 06/2026),Hyundai,6710,29-Jun-2011,Hatchback,143000,https://i.i-sgcm.com/cars_used/202106/1008146_small.jpg
198800,E-Class E200 Exclusive,Mercedes-Benz,19800,20-Sep-2019,Luxury,22199,https://i.i-sgcm.com/cars_used/202106/1005712_small.jpg
72800,1 Series 116i (New 10-yr COE),BMW,7280,28-Dec-2011,Hatchback,85000,https://i.i-sgcm.com/cars_used/202106/1003570_small.jpg
129800,6 Series 640i Gran Coupe M-Sport,BMW,25260,24-Feb-2014,Luxury,78000,https://i.i-sgcm.com/cars_used/202106/1003250_small.jpg
59800,3 1.5A Sunroof,Mazda,9140,08-Aug-2017,Sedan,33900,https://i.i-sgcm.com/cars_used/202106/1003211_small.jpg
135800,Odyssey 2.4A EX-S,Honda,14540,01-Oct-2019,MPV,20800,https://i.i-sgcm.com/cars_used/202106/1001979_small.jpg
66800,Vios 1.5A E,Toyota,8140,17-Dec-2018,Sedan,23000,https://i.i-sgcm.com/cars_used/202106/1001621_small.jpg
56800,Estima 2.4A Aeras G (COE till 02/2028),Toyota,8670,25-Feb-2008,MPV,160000,https://i.i-sgcm.com/cars_used/202106/1000959_small.jpg
63188,Qashqai 1.2A DIG-T Premium,Nissan,10000,31-Mar-2017,SUV,74018,https://i.i-sgcm.com/cars_used/202106/1000947_small.jpg
36800,Swift 1.4A GLX (COE till 05/2026),Suzuki,7650,15-Jun-2011,Hatchback,132000,https://i.i-sgcm.com/cars_used/202105/998609_small.jpg
114800,Passat 1.8A TSI,Volkswagen,11530,28-Feb-2020,Luxury,32000,https://i.i-sgcm.com/cars_used/202105/998431_small.jpg
86800,Tiguan 2.0A TSI R-Line,Volkswagen,15110,29-Dec-2015,SUV,11300,https://i.i-sgcm.com/cars_used/202105/998081_small.jpg
83800,XE Diesel 2.0A Prestige,Jaguar,13660,29-Jul-2016,Luxury,41000,https://i.i-sgcm.com/cars_used/202105/997780_small.jpg
148800,7 Series 740Li Luxury Sunroof,BMW,23960,31-Jul-2015,Luxury,90000,https://i.i-sgcm.com/cars_used/202105/996202_small.jpg
167800,GLC-Class GLC250 4MATIC,Mercedes-Benz,20240,18-Jul-2018,SUV,57292,https://i.i-sgcm.com/cars_used/202105/994775_small.jpg
17800,Exora Bold 1.6A CFE,Proton,15060,27-Apr-2012,MPV,77000,https://i.i-sgcm.com/cars_used/202105/993920_small.jpg
368800,RS 4 Avant 2.9A TFSI Quattro Tip,Audi,33080,09-Feb-2021,Stationwagon,1700,https://i.i-sgcm.com/cars_used/202105/993761_small.jpg
189800,C-Class C200 Mild Hybrid AMG Line Premium Plus,Mercedes-Benz,16060,26-Apr-2021,Luxury,107,https://i.i-sgcm.com/cars_used/202104/990528_small.jpg
138800,Rover Defender 110 Hardtop,Land,36690,22-May-2015,Truck,90000,https://i.i-sgcm.com/cars_used/202104/983519_small.jpg
123800,X1 sDrive18i,BMW,13510,28-Mar-2019,SUV,39112,https://i.i-sgcm.com/cars_used/202104/982570_small.jpg
147800,RX350 Luxury Sunroof,Lexus,21660,05-Feb-2016,SUV,73000,https://i.i-sgcm.com/cars_used/202103/978957_small.jpg
116800,3 Series 335i M-Sport Sunroof (New 10-yr COE),BMW,11670,19-Apr-2012,Luxury,92976,https://i.i-sgcm.com/cars_used/202103/978499_small.jpg
52800,3 1.5A Sunroof,Mazda,8800,20-Dec-2016,Sedan,72673,https://i.i-sgcm.com/cars_used/202103/978346_small.jpg
53800,C-Class C200 Avantgarde,Mercedes-Benz,14890,03-Jun-2013,Luxury,118191,https://i.i-sgcm.com/cars_used/202103/973015_small.jpg
