Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Images
73888,1 Series 116d,BMW,11860,27-Apr-2017,Hatchback,52800,https://i.i-sgcm.com/cars_used/202108/1021312_small.jpg
138800,7 Series 740i Sunroof,BMW,78230,15-Nov-2012,Luxury,109000,https://i.i-sgcm.com/cars_used/202108/1021277_small.jpg
51800,Vezel 1.5A X,Honda,9640,14-Jun-2016,SUV,78399,https://i.i-sgcm.com/cars_used/202108/1021315_small.jpg
75200,Jazz 1.3A LX,Honda,7980,07-Aug-2020,Hatchback,18000,https://i.i-sgcm.com/cars_used/202107/1018079_small.jpg
58800,Cerato K3 1.6A Sunroof,Kia,8410,28-Aug-2017,Sedan,102500,https://i.i-sgcm.com/cars_used/202107/1014875_small.jpg
79800,Civic 1.6A VTi,Honda,9900,10-Aug-2018,Sedan,38200,https://i.i-sgcm.com/cars_used/202107/1011874_small.jpg
168800,GranTurismo S 4.7A (COE till 04/2031),Maserati,17350,06-Jun-2011,Sports,64000,https://i.i-sgcm.com/cars_used/202108/1021311_small.jpg
22000,Exora 1.6A M-Line (COE till 08/2024),Proton,7310,11-Aug-2009,MPV,177000,https://i.i-sgcm.com/cars_used/202108/1021310_small.jpg
56800,A4 1.8A TFSI MU,Audi,12950,12-Feb-2015,Luxury,77000,https://i.i-sgcm.com/cars_used/202108/1021202_small.jpg
69800,C-Class C180 Avantgarde,Mercedes-Benz,17290,30-Oct-2014,Luxury,70130,https://i.i-sgcm.com/cars_used/202108/1021309_small.jpg
101800,Alphard 2.5A X Moonroof,Toyota,16800,02-Aug-2016,MPV,65000,https://i.i-sgcm.com/cars_used/202108/1021308_small.jpg
78688,Corolla Altis 1.6A Standard,Toyota,9700,11-Sep-2018,Sedan,63000,https://i.i-sgcm.com/cars_used/202108/1021306_small.jpg
121888,5 Series 528i Highline,BMW,17430,18-Nov-2016,Luxury,82888,https://i.i-sgcm.com/cars_used/202108/1021305_small.jpg
66500,IS250 (COE till 01/2029),Lexus,8880,15-Apr-2009,Luxury,170013,https://i.i-sgcm.com/cars_used/202108/1021302_small.jpg
97800,Odyssey 2.4A EXV-S Sunroof,Honda,12990,16-Oct-2017,MPV,90000,https://i.i-sgcm.com/cars_used/202107/1018169_small.jpg
189800,GLB-Class GLB200 AMG Line Premium Plus 7-Seater,Mercedes-Benz,17560,16-Oct-2020,SUV,15000,https://i.i-sgcm.com/cars_used/202106/1003742_small.jpg
45800,Allion 1.5A (COE till 10/2028),Toyota,6390,06-Oct-2008,Sedan,123000,https://i.i-sgcm.com/cars_used/202108/1021303_small.jpg
208000,911 Carrera 4S Coupe PDK (COE till 04/2029),Porsche,26900,03-Nov-2009,Sports,87000,https://i.i-sgcm.com/cars_used/202108/1021301_small.jpg
101800,S4 3.0A TFSI Quattro S-tronic (COE till 08/2030),Audi,11250,24-Aug-2010,Sports,173000,https://i.i-sgcm.com/cars_used/202107/1015543_small.jpg
85800,Dyna 150 3.0M,Toyota,9260,12-Nov-2020,Truck,20109,https://i.i-sgcm.com/cars_used/202106/1006301_small.jpg
76800,Prius Alpha Hybrid 1.8A S,Toyota,11850,14-Nov-2017,MPV,52115,https://i.i-sgcm.com/cars_used/202106/1005367_small.jpg
76800,Prius Alpha Hybrid 1.8A S,Toyota,12170,15-Sep-2017,MPV,73531,https://i.i-sgcm.com/cars_used/202104/987251_small.jpg
73800,Forester 2.0i-L Sunroof,Subaru,11300,27-Jun-2017,SUV,41663,https://i.i-sgcm.com/cars_used/202103/977788_small.jpg
77800,3 HB 1.5A Deluxe,Mazda,9320,28-Dec-2018,Hatchback,55000,https://i.i-sgcm.com/cars_used/202108/1021299_small.jpg
57800,CLA-Class CLA180,Mercedes-Benz,15540,02-Sep-2014,Luxury,142000,https://i.i-sgcm.com/cars_used/202107/1012404_small.jpg
91800,Civic 1.6A VTi,Honda,10070,20-Sep-2019,Sedan,29400,https://i.i-sgcm.com/cars_used/202106/1000880_small.jpg
109800,Q2 1.4A TFSI CoD S-tronic,Audi,13080,13-Dec-2018,SUV,20143,https://i.i-sgcm.com/cars_used/202108/1021300_small.jpg
82800,A-Class A200 Style,Mercedes-Benz,12570,04-Apr-2017,Hatchback,91000,https://i.i-sgcm.com/cars_used/202106/1009185_small.jpg
82800,Sienta 1.5A Elegance,Toyota,9670,04-Mar-2019,MPV,34660,https://i.i-sgcm.com/cars_used/202106/1001655_small.jpg
81800,C-HR Hybrid 1.8A S,Toyota,11450,20-Apr-2018,SUV,56214,https://i.i-sgcm.com/cars_used/202105/996726_small.jpg
145888,6 Series 640i Cabriolet (COE till 04/2031),BMW,14990,09-Jun-2011,Sports,56124,https://i.i-sgcm.com/cars_used/202108/1021297_small.jpg
252000,CLS-Class CLS350 Coupe Mild Hybrid Sunroof,Mercedes-Benz,25610,17-Dec-2018,Luxury,43633,https://i.i-sgcm.com/cars_used/202108/1021295_small.jpg
65500,Cerato 1.6A LX,Kia,8050,16-Jan-2019,Sedan,34000,https://i.i-sgcm.com/cars_used/202107/1012766_small.jpg
32800,Mark X (COE till 06/2026),Toyota,6700,16-Nov-2006,Luxury,168970,https://i.i-sgcm.com/cars_used/202108/1021296_small.jpg
69800,Hiace 3.0A DX,Toyota,10300,18-May-2018,Van,97000,https://i.i-sgcm.com/cars_used/202107/1017481_small.jpg
75700,Vellfire 2.4A V (COE till 05/2029),Toyota,9680,10-Jun-2009,MPV,140200,https://i.i-sgcm.com/cars_used/202107/1012342_small.jpg
55000,Pulsar 1.2A DIG-T Premium,Nissan,8720,23-Jun-2017,Hatchback,18000,https://i.i-sgcm.com/cars_used/202106/1006267_small.jpg
179800,C-Class C200 Coupe Mild Hybrid AMG Line Premium Sunroof,Mercedes-Benz,19150,15-May-2019,Sports,28200,https://i.i-sgcm.com/cars_used/202106/1004110_small.jpg
105800,Ateca 1.4A TSI DSG FR,SEAT,10830,27-Nov-2019,SUV,23800,https://i.i-sgcm.com/cars_used/202105/1000285_small.jpg
133800,6 Series 640i Gran Coupe,BMW,25950,29-Oct-2014,Luxury,60875,https://i.i-sgcm.com/cars_used/202103/974294_small.jpg
118800,2 Series 216i Gran Tourer,BMW,12090,28-Nov-2019,MPV,30547,https://i.i-sgcm.com/cars_used/202108/1021293_small.jpg
19000,Stream 1.8A X (COE till 12/2023),Honda,8180,05-Dec-2008,MPV,170000,https://i.i-sgcm.com/cars_used/202108/1021292_small.jpg
180800,E-Class E250 Avantgarde,Mercedes-Benz,18980,28-Jan-2019,Luxury,59758,https://i.i-sgcm.com/cars_used/202108/1021291_small.jpg
61800,Jetta GP 1.4A TSI Highline,Volkswagen,9670,27-Oct-2016,Sedan,84846,https://i.i-sgcm.com/cars_used/202108/1021290_small.jpg
41800,5 Series 520i,BMW,17410,30-Oct-2012,Luxury,149834,https://i.i-sgcm.com/cars_used/202108/1021289_small.jpg
263888,Gallardo LP560-4 (COE till 03/2029),Lamborghini,34500,19-Aug-2009,Sports,88000,https://i.i-sgcm.com/cars_used/202108/1021288_small.jpg
69800,Corolla Altis 1.6A Eco,Toyota,10120,04-Oct-2017,Sedan,63000,https://i.i-sgcm.com/cars_used/202108/1021287_small.jpg
83800,Vezel Hybrid 1.5A X Sensing,Honda,10580,03-Sep-2018,SUV,41000,https://i.i-sgcm.com/cars_used/202108/1021286_small.jpg
52800,Civic 1.6A VTi-S,Honda,10000,06-Oct-2015,Sedan,90000,https://i.i-sgcm.com/cars_used/202108/1021285_small.jpg
71800,5 Series 523i (COE till 06/2030),BMW,8080,28-Jun-2010,Luxury,150000,https://i.i-sgcm.com/cars_used/202108/1021284_small.jpg
19800,Jazz 1.5A L Skyroof (COE till 11/2023),Honda,8740,14-Nov-2008,Hatchback,144000,https://i.i-sgcm.com/cars_used/202108/1021283_small.jpg
72500,Vios 1.5A E,Toyota,8310,28-Jun-2019,Sedan,22000,https://i.i-sgcm.com/cars_used/202108/1021274_small.jpg
58800,Focus 1.0A GTDI Titanium,Ford,8110,29-Dec-2017,Sedan,44297,https://i.i-sgcm.com/cars_used/202108/1021263_small.jpg
73800,Camry 2.5A,Toyota,11360,23-Aug-2016,Luxury,80000,https://i.i-sgcm.com/cars_used/202108/1021261_small.jpg
64000,1 Series 116d,BMW,11820,28-Jul-2016,Hatchback,49126,https://i.i-sgcm.com/cars_used/202108/1021165_small.jpg
109800,A1 Sportback 1.0A TFSI S-tronic S-Line,Audi,10670,10-Sep-2020,Hatchback,11300,https://i.i-sgcm.com/cars_used/202108/1020047_small.jpg
13800,Cerato Forte 1.6A SX,Kia,13070,29-Feb-2012,Sedan,103000,https://i.i-sgcm.com/cars_used/202107/1018979_small.jpg
53800,3 1.5A Sunroof,Mazda,9580,16-Aug-2016,Sedan,86000,https://i.i-sgcm.com/cars_used/202107/1016474_small.jpg
54800,Wish 1.8A Elegance,Toyota,10240,28-Sep-2015,MPV,101123,https://i.i-sgcm.com/cars_used/202107/1015152_small.jpg
49998,A6 2.0A TFSI MU,Audi,14910,22-Jul-2013,Luxury,105913,https://i.i-sgcm.com/cars_used/202107/1014954_small.jpg
190800,E-Class E300 Coupe AMG Line,Mercedes-Benz,23200,28-Dec-2017,Sports,31300,https://i.i-sgcm.com/cars_used/202106/1008062_small.jpg
38800,Vios 1.5A J (New 5-yr COE),Toyota,7760,21-Oct-2011,Sedan,158000,https://i.i-sgcm.com/cars_used/202106/1005218_small.jpg
80800,Jazz 1.3A,Honda,8420,16-Oct-2020,Hatchback,7929,https://i.i-sgcm.com/cars_used/202106/1002893_small.jpg
55800,Vitara 1.6A GLX,Suzuki,9650,05-Sep-2016,SUV,84000,https://i.i-sgcm.com/cars_used/202106/1002033_small.jpg
84998,CT Hybrid CT200h Premium (New 10-yr COE),Lexus,8500,02-Aug-2011,Hatchback,119283,https://i.i-sgcm.com/cars_used/202105/997801_small.jpg
599000,Aventador LP700-4,Lamborghini,616750,11-Apr-2012,Sports,22000,https://i.i-sgcm.com/cars_used/202102/970579_small.jpg
229900,Land Cruiser 4.6A X,Toyota,20550,27-Nov-2020,SUV,200,https://i.i-sgcm.com/cars_used/202011/948134_small.jpg
98800,2 Series 216i Gran Tourer Luxury,BMW,11810,15-May-2018,MPV,73000,https://i.i-sgcm.com/cars_used/202108/1021279_small.jpg
208888,GTR 3.8A (COE till 09/2028),Nissan,29390,15-Sep-2008,Sports,116296,https://i.i-sgcm.com/cars_used/202108/1021223_small.jpg
108800,C-Class C200 Avantgarde,Mercedes-Benz,16420,18-Nov-2016,Luxury,108000,https://i.i-sgcm.com/cars_used/202108/1019998_small.jpg
93800,C-Class C180 Avantgarde,Mercedes-Benz,15910,06-May-2016,Luxury,68000,https://i.i-sgcm.com/cars_used/202108/1019994_small.jpg
75111,Forester 2.0XT Sunroof,Subaru,12940,01-Sep-2016,SUV,40000,https://i.i-sgcm.com/cars_used/202107/1018942_small.jpg
142800,B-Class B200 Progressive,Mercedes-Benz,15000,23-Oct-2019,Hatchback,22000,https://i.i-sgcm.com/cars_used/202107/1017028_small.jpg
133000,XC60 T5 Momentum,Volvo,17490,29-Nov-2017,SUV,60000,https://i.i-sgcm.com/cars_used/202107/1015774_small.jpg
106000,Vellfire 2.5A Z G-Edition,Toyota,18680,24-Dec-2015,MPV,52000,https://i.i-sgcm.com/cars_used/202107/1012912_small.jpg
59800,HR-V 1.5A LX,Honda,9930,02-Sep-2016,SUV,79914,https://i.i-sgcm.com/cars_used/202107/1011312_small.jpg
60800,Elantra 1.6A GLS S,Hyundai,8620,18-Dec-2017,Sedan,50000,https://i.i-sgcm.com/cars_used/202107/1011070_small.jpg
77500,3 HB 1.5A Deluxe,Mazda,9380,28-Nov-2018,Hatchback,30000,https://i.i-sgcm.com/cars_used/202107/1010806_small.jpg
187888,E-Class E180 Avantgarde,Mercedes-Benz,17060,11-Dec-2020,Luxury,8000,https://i.i-sgcm.com/cars_used/202106/1008324_small.jpg
71800,Fit 1.3A G F-Package,Honda,8000,25-Mar-2020,Hatchback,13998,https://i.i-sgcm.com/cars_used/202106/1008263_small.jpg
71500,Wish 1.8A Elegance,Toyota,10420,04-Jul-2017,MPV,62000,https://i.i-sgcm.com/cars_used/202106/1007727_small.jpg
21998,Civic 2.0A (COE till 10/2023),Honda,9860,13-Nov-2008,Sedan,151683,https://i.i-sgcm.com/cars_used/202106/1007396_small.jpg
59800,6 2.0A,Mazda,10360,30-May-2016,Luxury,53000,https://i.i-sgcm.com/cars_used/202106/1007207_small.jpg
128000,3 Series 318i Shadow Edition,BMW,13740,27-Jun-2019,Luxury,28400,https://i.i-sgcm.com/cars_used/202106/1006129_small.jpg
87800,Corolla Altis 1.6A Elegance,Toyota,9570,31-Aug-2019,Sedan,32000,https://i.i-sgcm.com/cars_used/202106/1006027_small.jpg
74800,X-Trail 2.0A Premium 7-Seater Sunroof,Nissan,10960,22-Mar-2017,SUV,134000,https://i.i-sgcm.com/cars_used/202106/1004397_small.jpg
50500,Focus Titanium 1.0A GTDI 5DR,Ford,8100,13-Dec-2016,Hatchback,79123,https://i.i-sgcm.com/cars_used/202105/1000209_small.jpg
89800,CLA-Class CLA180,Mercedes-Benz,14830,12-Oct-2016,Luxury,96000,https://i.i-sgcm.com/cars_used/202105/999017_small.jpg
23800,Vios 1.5A G (COE till 07/2024),Toyota,8010,29-Jul-2009,Sedan,122000,https://i.i-sgcm.com/cars_used/202105/995263_small.jpg
93900,E-Class E200 CGI (COE till 04/2031),Mercedes-Benz,9650,25-Jul-2011,Luxury,108000,https://i.i-sgcm.com/cars_used/202104/988231_small.jpg
60800,XV 1.6i-S,Subaru,9970,31-Oct-2016,SUV,94160,https://i.i-sgcm.com/cars_used/202104/987174_small.jpg
61800,3 Series 318i Sunroof (COE till 07/2030),BMW,6880,30-Jul-2010,Luxury,167000,https://i.i-sgcm.com/cars_used/202104/982980_small.jpg
