Ask Price,Car Model,Brand,Depreciation,Registration Date,Category,Mileage,Engine Capacity,Images
84600,Q5 2.0A TFSI Quattro,Audi,24420,24-Dec-2013,SUV,12900,1984,https://i.i-sgcm.com/cars_used/202108/1023053_small.jpg
47800,A5 Sportback 2.0A TFSI Quattro (COE till 03/2025),Audi,13210,31-Mar-2010,Luxury,130000,1984,https://i.i-sgcm.com/cars_used/202108/1022982_small.jpg
93800,A3 Sportback 1.0A TFSI S-tronic,Audi,10940,08-Mar-2019,Hatchback,53339,999,https://i.i-sgcm.com/cars_used/202108/1022976_small.jpg
249999,A5 Cabriolet Mild Hybrid 2.0A TFSI S-tronic Advanced,Audi,23140,27-Nov-2020,Sports,5909,1984,https://i.i-sgcm.com/cars_used/202108/1022952_small.jpg
93999,A3 Sedan 1.0A TFSI S-tronic,Audi,11470,28-Aug-2018,Luxury,41500,999,https://i.i-sgcm.com/cars_used/202107/1017718_small.jpg
160999,A5 Sportback 2.0A TFSI S-tronic Design,Audi,16260,11-Feb-2020,Luxury,8000,1984,https://i.i-sgcm.com/cars_used/202107/1018405_small.jpg
134000,A5 Coupe 2.0A TFSI S-tronic Design,Audi,17740,09-Dec-2017,Sports,29314,1984,https://i.i-sgcm.com/cars_used/202107/1016702_small.jpg
65777,A6 2.0A TFSI MU,Audi,13790,27-Nov-2014,Luxury,109000,1984,https://i.i-sgcm.com/cars_used/202108/1021720_small.jpg
109800,Q2 1.0A TFSI S-tronic,Audi,11990,25-Sep-2019,SUV,6500,999,https://i.i-sgcm.com/cars_used/202108/1021096_small.jpg
75800,TT Coupe 2.0A TFSI (COE till 04/2029),Audi,9840,09-Jul-2009,Sports,148655,1984,https://i.i-sgcm.com/cars_used/202108/1022891_small.jpg
64800,A3 Sedan 1.4A TFSI S-tronic Ambiente,Audi,13330,18-Sep-2015,Luxury,43000,1395,https://i.i-sgcm.com/cars_used/202106/1003907_small.jpg
79999,A3 Sedan 1.0A TFSI S-tronic,Audi,11680,12-Oct-2017,Luxury,62000,999,https://i.i-sgcm.com/cars_used/202107/1013024_small.jpg
93800,TT Coupe 2.0A TFSI (COE till 05/2031),Audi,9580,07-Jul-2011,Sports,168000,1984,https://i.i-sgcm.com/cars_used/202106/1004751_small.jpg
85999,Q2 1.0A TFSI S-tronic,Audi,12730,25-Aug-2017,SUV,41000,999,https://i.i-sgcm.com/cars_used/202108/1021545_small.jpg
85200,A4 1.4A TFSI S-tronic,Audi,13220,18-Jan-2017,Luxury,78421,1395,https://i.i-sgcm.com/cars_used/202106/1007930_small.jpg
139800,A5 Sportback 2.0A TFSI S-tronic Design (OPC),Audi,13950,30-Dec-2019,Luxury,22000,1984,https://i.i-sgcm.com/cars_used/202108/1022895_small.jpg
267999,A7 Sportback 3.0A TFSI Quattro S-tronic,Audi,28290,30-Apr-2019,Luxury,11500,2995,https://i.i-sgcm.com/cars_used/202105/994462_small.jpg
74800,TT Coupe 2.0A TFSI S-tronic (COE till 03/2029),Audi,9810,01-Jul-2009,Sports,127391,1984,https://i.i-sgcm.com/cars_used/202103/978872_small.jpg
101800,S4 3.0A TFSI Quattro S-tronic (COE till 08/2030),Audi,11280,24-Aug-2010,Sports,173000,2995,https://i.i-sgcm.com/cars_used/202107/1015543_small.jpg
68888,A4 1.8A TFSI MU Attraction,Audi,12640,16-Dec-2015,Luxury,57575,1798,https://i.i-sgcm.com/cars_used/202108/1022832_small.jpg
90988,Q2 1.0A TFSI S-tronic,Audi,13030,15-Nov-2017,SUV,38000,999,https://i.i-sgcm.com/cars_used/202107/1012753_small.jpg
149988,A5 Sportback 2.0A TFSI S-tronic Design,Audi,16710,29-Mar-2019,Luxury,46000,1984,https://i.i-sgcm.com/cars_used/202106/1000883_small.jpg
101988,A3 Sportback 1.0A TFSI S-tronic,Audi,11570,27-May-2019,Hatchback,32700,999,https://i.i-sgcm.com/cars_used/202106/1005884_small.jpg
148800,A4 Mild Hybrid 2.0A TFSI S-tronic,Audi,14180,22-Oct-2020,Luxury,10175,1984,https://i.i-sgcm.com/cars_used/202108/1020381_small.jpg
109800,A1 Sportback 1.0A TFSI S-tronic S-Line,Audi,10700,10-Sep-2020,Hatchback,11300,999,https://i.i-sgcm.com/cars_used/202108/1020047_small.jpg
91800,A3 Sedan 1.0A TFSI S-tronic,Audi,11870,28-Mar-2018,Luxury,20300,999,https://i.i-sgcm.com/cars_used/202108/1022866_small.jpg
121800,Q7 3.0A TFSI Quattro S-Line (New 10-yr COE),Audi,12170,31-Dec-2011,SUV,129800,2995,https://i.i-sgcm.com/cars_used/202107/1013933_small.jpg
93988,Q3 1.4A TFSI S-Tronic,Audi,14890,25-Nov-2016,SUV,58000,1395,https://i.i-sgcm.com/cars_used/202105/999755_small.jpg
91800,A3 Sedan 1.0A TFSI S-tronic,Audi,11740,24-Apr-2018,Luxury,19162,999,https://i.i-sgcm.com/cars_used/202108/1020402_small.jpg
93800,A3 Sedan 1.0A TFSI S-tronic,Audi,11730,26-Jun-2018,Luxury,37475,999,https://i.i-sgcm.com/cars_used/202107/1018476_small.jpg
148800,A4 Mild Hybrid 2.0A TFSI S-tronic,Audi,14160,26-Oct-2020,Luxury,6633,1984,https://i.i-sgcm.com/cars_used/202107/1014029_small.jpg
228800,R8 4.2A FSI Quattro,Audi,101030,28-Feb-2013,Sports,70000,4163,https://i.i-sgcm.com/cars_used/202107/1016763_small.jpg
89800,A3 Sportback 1.0A TFSI S-tronic,Audi,11420,10-May-2018,Hatchback,43625,999,https://i.i-sgcm.com/cars_used/202107/1015770_small.jpg
98800,A1 Sportback 1.0A TFSI S-tronic,Audi,10300,31-Dec-2019,Hatchback,9528,999,https://i.i-sgcm.com/cars_used/202107/1010857_small.jpg
119777,TTS Coupe 2.0A TFSI Quattro S-tronic (New 10-yr COE),Audi,11970,13-Jan-2012,Sports,107568,1984,https://i.i-sgcm.com/cars_used/202108/1019984_small.jpg
95777,A6 1.8A TFSI Ultra S-tronic,Audi,14720,13-Sep-2016,Luxury,99125,1798,https://i.i-sgcm.com/cars_used/202107/1017722_small.jpg
89777,A6 1.8A TFSI Ultra S-tronic,Audi,14880,29-Mar-2016,Luxury,99256,1798,https://i.i-sgcm.com/cars_used/202107/1017720_small.jpg
108800,S4 3.0A TFSI Quattro S-tronic (COE till 08/2030),Audi,12030,29-Apr-2011,Sports,106000,2995,https://i.i-sgcm.com/cars_used/202108/1022437_small.jpg
110000,A4 Avant 2.0A TFSI MU,Audi,16590,15-Sep-2016,Stationwagon,70000,1984,https://i.i-sgcm.com/cars_used/202108/1019515_small.jpg
51988,A1 Sportback 1.0A TFSI S-tronic,Audi,10290,11-May-2016,Hatchback,75000,999,https://i.i-sgcm.com/cars_used/202107/1018897_small.jpg
